"LIST_NO","LIST_DATE","LEVELS_MF","ADDRESS","NO_BEDROOMS","FURNISHED_RN","HIGH_SCHOOL","LIST_OR_SALE_PRICE","LIST_PRICE","ORIG_PRICE","SQUARE_FEET","NEIGHBORHOOD","OFF_MKT_DATE","OFFER_DATE"
73316055,"06/29/2024",,"8 Oakhurst ST U:5",3,,,3234.00,3500.00,3500.00,1069,,"09/25/2024","09/25/2024"
73316054,"05/29/2024",,"197-199 N St U:1",3,,,5000.00,5300.00,5300.00,1471,,"07/08/2024","07/08/2024"
73296730,"07/17/2024",,"52 Conant Street U:2",3,"No",,3000.00,2950.00,2950.00,2000,,"10/01/2024","10/01/2024"
73296425,"09/09/2024",,"9 Tiffany Rd U:1",1,,,1800.00,1800.00,1800.00,780,,"09/27/2024","09/27/2024"
73296270,"09/30/2024",,"13 Sudbury Street U:511",1,"No",,2100.00,2100.00,2100.00,0,,"09/30/2024","09/30/2024"
73296268,"09/30/2024",,"13 Sudbury Street U:309",1,"No",,1975.00,1975.00,1975.00,0,,"09/30/2024","09/30/2024"
73296080,"09/28/2024",,"62 Cutter Street U:B",3,,"Waltham High",3000.00,3000.00,3000.00,1036,,"09/30/2024","09/30/2024"
73295940,"09/27/2024",,"40 School Street U:# 2",1,"No","Woburn High",1500.00,1500.00,1500.00,450,,"10/01/2024","10/01/2024"
73295932,"09/27/2024",,"2200 Skyline Dr U:3",2,"Partial",,2000.00,2000.00,2000.00,880,,"09/30/2024","09/30/2024"
73295757,"09/27/2024",,"306 W. Main Street U:3",2,"No",,2000.00,2000.00,2000.00,700,,"09/27/2024","09/27/2024"
73295676,"09/26/2024",,"49 Dana Ave U:2",2,"No",,2200.00,2200.00,2200.00,800,,"09/27/2024","09/27/2024"
73295420,"09/26/2024",,"2 Inwood Dr U:3006",2,"No",,3250.00,3250.00,3250.00,1350,,"09/30/2024","09/30/2024"
73295305,"09/26/2024",,"11 CHAPEL ST U:11",3,,,4400.00,4400.00,4400.00,2400,,"09/26/2024","09/26/2024"
73295127,"09/26/2024",,"20 Middlesex Ave U:1",2,,,2550.00,2550.00,2550.00,9999,,"09/30/2024","09/30/2024"
73295077,"09/25/2024",,"488 Centre U:1",2,,,3800.00,3500.00,3500.00,1300,,"09/30/2024","09/30/2024"
73294802,"09/25/2024",,"8 kilsyth U:43",2,"No",,2500.00,2695.00,3095.00,894,,"09/25/2024","09/25/2024"
73294466,"09/25/2024",,"91 Ash Street U:2",1,"No",,2200.00,2200.00,2200.00,1000,,"10/01/2024","10/01/2024"
73294260,"09/01/2024",,"185 Chestnut Hill Ave U:15",2,"Yes",,2900.00,2400.00,2400.00,999,,"09/01/2024","09/01/2024"
73294227,"09/23/2024",,"65 Milliken Ave U:22",2,"No",,1500.00,1500.00,1500.00,857,,"09/26/2024","09/26/2024"
73294065,"09/24/2024",,"44 Callender St U:2",2,"No",,2400.00,2400.00,2400.00,9999,,"09/30/2024","09/30/2024"
73293819,"09/23/2024",,"85 Brainerd Road U:103",2,"No",,3100.00,3000.00,3000.00,1000,,"09/29/2024","09/29/2024"
73293755,"09/23/2024",,"33-35 Havelock U:35A",1,,,2150.00,2150.00,2150.00,700,,"09/29/2024","09/29/2024"
73293689,"09/23/2024",,"1159 DWIGHT STREET U:P",0,"No",,1000.00,1000.00,1000.00,270,,"09/30/2024","09/30/2024"
73293645,"09/23/2024",,"9 ORCHARD VIEW CIR U:9",3,"No",,4000.00,4000.00,4000.00,1800,,"09/27/2024","09/25/2024"
73293636,"09/23/2024",,"23 Temple St. U:1",1,,,1800.00,1800.00,1800.00,325,,"10/01/2024","10/01/2024"
73293579,"09/23/2024",,"69 Milliken U:24",1,,,1550.00,1550.00,1550.00,624,,"09/30/2024","09/30/2024"
73293545,"09/23/2024",,"8 French Street U:0",2,"No",,2600.00,2600.00,2600.00,1440,,"09/26/2024","09/26/2024"
73293463,"09/23/2024",,"33 Hermon St U:R-202",1,,,1900.00,1900.00,1900.00,0,,"09/23/2024","09/23/2024"
73293460,"09/23/2024",,"33 Hermon St U:GL-10",0,,,1475.00,1475.00,1475.00,0,,"09/23/2024","09/23/2024"
73293433,"09/22/2024",,"188 Brookline Ave U:27H",1,,"Boston Latin",5100.00,5100.00,5100.00,815,,"09/23/2024","09/23/2024"
73293397,"09/22/2024",,"11 Bell Street",3,,"QHS",3325.00,3100.00,3100.00,1418,,"09/24/2024","09/24/2024"
73293371,"09/22/2024",,"52 Bess Road U:52",3,"No","Needham",3900.00,3900.00,3900.00,1100,,"09/30/2024","09/30/2024"
73293347,"09/19/2024",,"100 Quarry St U:11",2,"No",,2200.00,2200.00,2200.00,650,,"09/24/2024","09/24/2024"
73293336,"09/20/2024",,"613 South St U:1",3,,,2150.00,2150.00,2150.00,1200,,"09/23/2024","09/21/2024"
73293273,"09/21/2024",,"2 Pearl Street U:1",2,"Yes",,2100.00,2100.00,2100.00,1200,,"10/01/2024","10/01/2024"
73293257,"09/21/2024",,"71B Bay Street U:B",3,"No",,2500.00,2600.00,2600.00,784,,"09/29/2024","09/29/2024"
73293245,"09/21/2024",,"110 Stuart U:16F",1,"Yes",,4500.00,4500.00,4500.00,857,,"09/26/2024","09/26/2024"
73293154,"09/20/2024",,"178a Ruskindale Road U:2",2,,,2650.00,2650.00,2650.00,1100,,"09/22/2024","09/22/2024"
73293123,"09/20/2024",,"76 Commonwealth Ave U:5",1,"No",,3000.00,3000.00,3000.00,520,,"09/22/2024","09/22/2024"
73293115,"09/20/2024",,"585 Revere Beach Parkway U:112",2,,,2600.00,2600.00,2600.00,951,,"09/26/2024","09/26/2024"
73293005,"09/20/2024",,"32 State St U:B7",2,"No",,1500.00,1500.00,1500.00,900,,"10/01/2024","09/28/2024"
73292927,"09/20/2024",,"38 Sawtell Ave U:3S",2,"No",,2200.00,2200.00,2200.00,900,,"09/28/2024","09/25/2024"
73292841,"09/20/2024",,"26F Shrewsbury Green Dr. U:F",1,"No",,1600.00,1600.00,1600.00,700,,"09/29/2024","09/29/2024"
73292813,"09/19/2024",,"213 Rock St U:K10",1,"No",,1975.00,2000.00,2000.00,696,,"10/01/2024","10/01/2024"
73292810,"09/19/2024",,"46 Irving Street U:2",1,"No",,3000.00,3000.00,3000.00,844,,"09/21/2024","09/21/2024"
73292795,"09/19/2024",,"42 Bow St U:5",2,"No",,3650.00,3650.00,3650.00,1003,,"10/01/2024","10/01/2024"
73292755,"09/19/2024",,"185 Clark Rd. U:185",2,"No",,2200.00,2200.00,2200.00,972,,"09/23/2024","09/23/2024"
73292531,"09/19/2024",,"37 Horace St. U:203",1,,,2850.00,2800.00,2800.00,720,,"09/29/2024","09/29/2024"
73292489,"09/19/2024",,"47 Guinan U:47",2,,,2700.00,2600.00,2600.00,900,,"09/25/2024","09/25/2024"
73292413,"09/19/2024",,"79 North Main U:1",2,,,1500.00,1500.00,1500.00,900,,"10/01/2024","10/01/2024"
73292356,"09/19/2024",,"1581 Commercial St U:6",1,,,1600.00,1600.00,1600.00,504,,"09/24/2024","09/24/2024"
73292322,"09/19/2024",,"250 Hammond Pond Pkwy U:610N",1,"No","Newton South",2900.00,2900.00,2900.00,899,,"09/29/2024","09/29/2024"
73292266,"09/18/2024",,"7 Newbridge St",4,,,3500.00,3500.00,3500.00,0,,"09/28/2024","09/28/2024"
73292247,"09/19/2024",,"169 River St U:2",2,,,1950.00,1950.00,1950.00,900,,"09/28/2024","09/28/2024"
73292098,"09/17/2024",,"44 Broadlawn Pk U:18A",1,"No",,2200.00,2200.00,2200.00,758,,"09/29/2024","09/29/2024"
73292011,"09/18/2024",,"113 Library St U:113",3,"No",,3000.00,3000.00,3000.00,1145,,"09/24/2024","09/24/2024"
73291912,"09/18/2024",,"3 Wolcott Rd",3,,"Shrewsbury High",2600.00,2600.00,2600.00,99999,,"09/30/2024","09/27/2024"
73291893,"09/18/2024",,"149 Sydney Street U:1",2,"No",,2700.00,2700.00,2700.00,1000,,"09/27/2024","09/27/2024"
73291844,"09/18/2024",,"975 Memorial Drive U:811",2,"No",,9100.00,9750.00,9750.00,1350,,"09/18/2024","09/18/2024"
73291832,"09/18/2024",,"15 Quimby St U:15",2,"No",,2400.00,2400.00,2400.00,966,,"09/25/2024","09/25/2024"
73291810,"09/18/2024",,"63 Shore Rd",2,"No",,3800.00,3800.00,3800.00,768,,"09/25/2024","09/25/2024"
73291766,"09/18/2024",,"153 Warren U:B",1,,,3000.00,3000.00,3000.00,670,,"09/26/2024","09/26/2024"
73291752,"09/18/2024",,"28 W. Fourth St. U:28",4,,,2500.00,2500.00,2500.00,1200,,"10/01/2024","09/18/2024"
73291647,"09/18/2024",,"20-22 Concord Ave U:B",1,"Partial",,2000.00,2150.00,2150.00,390,,"09/29/2024","09/29/2024"
73291530,"09/18/2024",,"36 Jersey Ave U:36",2,"No","Braintree",2650.00,2650.00,2650.00,1350,,"09/21/2024","09/20/2024"
73291502,"09/18/2024",,"139 woodward U:0",4,"No",,2700.00,2700.00,2700.00,0,,"09/26/2024","09/26/2024"
73291480,"09/18/2024",,"30 Abbey Rd U:205",2,"No","Leominster Seni",1900.00,1700.00,1700.00,948,,"09/30/2024","09/25/2024"
73291467,"09/18/2024",,"132 Rawson Road U:132",3,,"Arlington",3500.00,3200.00,3200.00,1149,,"09/23/2024","09/23/2024"
73291429,"09/18/2024",,"10 1/2 Appian Way",1,"No",,3000.00,3000.00,3000.00,770,,"09/27/2024","09/27/2024"
73291313,"09/17/2024",,"130 Marlborough St U:1",0,,,1900.00,1900.00,1900.00,375,,"09/25/2024","09/22/2024"
73291261,"09/17/2024",,"30 CHELSEA U:506",1,"No",,2150.00,2150.00,2150.00,880,,"09/30/2024","09/30/2024"
73291234,"09/17/2024",,"29 Wall Street U:308",1,,,2275.00,2275.00,2275.00,709,,"09/24/2024","09/24/2024"
73291226,"09/13/2024",,"40 Cherry St U:2",4,"No",,4300.00,4490.00,4490.00,1328,,"09/29/2024","09/29/2024"
73291217,"09/17/2024",,"30 Langley Circle U:1",2,,,2450.00,2450.00,2450.00,850,,"09/25/2024","09/24/2024"
73291202,"09/17/2024",,"612 E 8th U:1",2,"No",,3500.00,3500.00,3500.00,840,,"09/22/2024","09/22/2024"
73291194,"09/17/2024",,"87 Broad St U:2",3,"No",,2800.00,2800.00,2800.00,1244,,"09/23/2024","09/23/2024"
73291187,"09/10/2024",,"23 Safford Street",3,,,3700.00,3600.00,3600.00,1300,,"09/30/2024","09/30/2024"
73291109,"09/17/2024",,"62 Washington St U:14",2,"No",,2000.00,2000.00,2000.00,870,,"09/30/2024","09/30/2024"
73291073,"09/17/2024",,"670 Bedford Street U:309",2,,,2250.00,2250.00,2250.00,900,,"09/24/2024","09/24/2024"
73291048,"09/17/2024",,"26 Pearl St U:3",2,,,2500.00,2500.00,2500.00,727,,"09/23/2024","09/23/2024"
73291025,"09/17/2024",,"457 Boston Street",4,"No","NAHS",5500.00,5500.00,5500.00,3279,,"09/30/2024","09/30/2024"
73290977,"09/17/2024",,"10 Moulton St U:1",1,"No",,950.00,950.00,950.00,600,,"09/23/2024","09/23/2024"
73290936,"09/17/2024",,"29 Brainerd U:302",1,"Yes",,2350.00,2400.00,2400.00,637,,"09/21/2024","09/21/2024"
73290931,"09/17/2024",,"235 Beacon U:5",0,,,2800.00,2800.00,2800.00,450,,"09/25/2024","09/25/2024"
73290875,"09/17/2024",,"157 Day U:n/a",2,"No","North/South",3700.00,3600.00,3600.00,1614,,"10/01/2024","09/25/2024"
73290869,"09/17/2024",,"49 Sumner Street U:2",2,"No","Stoughton",2200.00,2200.00,2200.00,700,,"09/22/2024","09/22/2024"
73290865,"09/17/2024",,"400 W First U:400",3,,,6000.00,6000.00,6000.00,1581,,"09/26/2024","09/24/2024"
73290819,"09/16/2024",,"180 Eastern Avenue U:304",1,"No","Malden High",2695.00,2695.00,2695.00,676,,"09/25/2024","09/25/2024"
73290782,"09/15/2024",,"240 Messinger U:1",2,,,2600.00,2600.00,2600.00,1100,,"09/24/2024","09/24/2024"
73290729,"09/16/2024",,"97 Monroe Rd",2,"Yes",,2400.00,2500.00,2500.00,860,,"10/01/2024","10/01/2024"
73290728,"09/16/2024",,"381 Marlborough St U:1",1,,,3000.00,3000.00,3000.00,627,,"09/23/2024","09/23/2024"
73290689,"09/16/2024",,"2 Cragmore U:6B",4,"No","South",7500.00,7500.00,7500.00,4236,,"09/30/2024","09/30/2024"
73290642,"09/16/2024",,"132 Commonwealth Ave U:8",1,"No",,4000.00,4000.00,4000.00,748,,"09/25/2024","09/25/2024"
73290576,"09/16/2024",,"515 walnut st U:1",2,,,2500.00,2750.00,2750.00,999,,"10/01/2024","10/01/2024"
73290547,"09/16/2024",,"7 Charlesbank U:4",2,,,2500.00,2500.00,2500.00,850,,"10/01/2024","10/01/2024"
73290535,"09/16/2024",,"26 N. Leyden St U:3",1,"No","Edison Academy",1500.00,1500.00,1500.00,750,,"10/01/2024","09/26/2024"
73290510,"09/16/2024",,"10 Wrentham Road U:305",2,"No",,2050.00,2050.00,2050.00,1161,,"09/27/2024","09/27/2024"
73290486,"09/16/2024",,"6 S Washington Street U:404",1,"No",,1675.00,1675.00,1750.00,650,,"09/25/2024","09/25/2024"
73290474,"09/03/2024",,"107 Summer St U:112",1,,,1800.00,1875.00,1875.00,517,,"09/18/2024","09/18/2024"
