LIST_NO,LIST_DATE,LEVELS_MF,ADDRESS,NO_BEDROOMS,FURNISHED_RN,HIGH_SCHOOL,LIST_OR_SALE_PRICE,LIST_PRICE,ORIG_PRICE,SQUARE_FEET,NEIGHBORHOOD,OFF_MKT_DATE,OFFER_DATE,RENT_FEE_INCLUDES_RN
73272933,8/2/24,,29A Jay Street U:29A,2,No,,3500,3550,3700,1212,,8/29/24,8/29/24,"Water, Sewerage Disposal"
73272940,8/2/24,,49 Mendon St U:B,3,,,2400,2400,2400,1700,,8/6/24,8/6/24,Water
73272943,8/2/24,,170 Gore Street U:509,1,,,2700,2700,2900,632,,9/7/24,9/7/24,"Water, Sewerage Disposal"
73272945,8/2/24,,71 Bryon Road U:71,3,,South,3200,3200,3200,1800,,8/20/24,8/20/24,"Water, Sewerage Disposal, Grounds Maintenance"
73272946,8/2/24,,9 DERBY ROAD U:2,3,No,,2900,2900,3275,1500,,8/31/24,8/31/24,"Water, Sewerage Disposal"
73272948,8/2/24,,551 Dudley Street U:4,1,,,1600,1600,1600,600,,9/2/24,8/20/24,"Hot Water, Water, Snow Removal"
73272957,8/2/24,,341 Belmont U:2,2,,,1850,1850,1850,1400,,8/19/24,8/19/24,"Hot Water, Water, Sewerage Disposal"
73272960,8/2/24,,60 Boylston St. U:1,2,,,3200,3150,3150,800,,8/16/24,8/16/24,"Sewerage Disposal, Refuse Removal"
73272965,8/2/24,,75 Chestnut St U:12,1,,,2800,2800,2800,490,,8/7/24,8/7/24,"Heat, Hot Water, Snow Removal"
73272967,8/2/24,,9 Charles U:4,2,,,2800,2800,2950,650,,8/9/24,8/9/24,"Water, Sewerage Disposal"
73272969,8/2/24,,753 E Broadway U:2,3,,,5000,4700,5000,1362,,9/5/24,8/30/24,"Water, Sewerage Disposal"
73272976,8/2/24,,35 Union U:1,3,No,,5250,5250,5250,2000,,8/7/24,8/7/24,"Snow Removal, Grounds Maintenance, Extra Storage, Garden Area, Occupancy Only, Parking "
