LIST_NO,LIST_DATE,LEVELS_MF,ADDRESS,NO_BEDROOMS,FURNISHED_RN,HIGH_SCHOOL,LIST_OR_SALE_PRICE,LIST_PRICE,ORIG_PRICE,SQUARE_FEET,NEIGHBORHOOD,OFF_MKT_DATE,OFFER_DATE
73343560,1/10/25,3,49 Granite St,6,,,782895,779900,779900,3750,,1/24/25,1/24/25
73339515,9/9/24,3,242 W 3rd St,6,,,1700000,1700000,1700000,2814,,2/27/25,2/27/25
73338579,2/26/25,,268 Bremen Street U:2,2,,,785000,785000,785000,1166,,2/26/25,2/26/25
73338554,2/26/25,,73 Falcon Street U:1,2,,,735000,735000,735000,1175,,2/26/25,2/26/25
73338258,2/21/25,,207 Highland Ave U:B,4,,,1330000,1330000,1330000,1730,,2/23/25,2/23/25
73338095,2/25/25,,218 Washington St U:218,3,,,1100000,1100000,1100000,1980,,2/26/25,2/26/25
73337931,2/25/25,,10 Avis Street,5,,DHS,1435000,1435000,1435000,4035,Padanaram,2/25/25,2/25/25
73337604,2/24/25,,84 New Hampshire Ave,3,,,352250,369900,369900,1438,,2/24/25,2/24/25
73337463,2/22/25,,144 Pinewood Dr U:144,2,,,210000,249900,249900,1557,,2/24/25,2/24/25
73337389,2/22/25,,481 Harrison Ave U:5A,3,,,2975000,2975000,2975000,2150,,2/23/25,2/23/25
73337372,2/22/25,,150 Seaport Blvd U:20E,4,,,9995000,9995000,9995000,2906,,3/6/25,3/6/25
73337369,2/22/25,,9 Metacomet Cir,3,,,260000,240000,240000,1656,,2/23/25,2/23/25
73337196,2/1/25,3,88-90 George St,6,,,950000,950000,950000,2331,,2/21/25,2/21/25
73337093,2/20/25,,70 Leo Birmingham Parkway U:105,1,,,775000,790000,790000,800,,2/24/25,2/24/25
73336402,2/19/25,,1000 Washington Street U:212,1,,,470000,470000,470000,706,,3/6/25,2/21/25
73336042,2/18/25,,257 Market Street U:1,4,,,850000,899000,899000,2165,,2/20/25,2/18/25
73336005,2/18/25,,44 Arrowhead Ave U:44,3,,,230000,179900,179900,1188,,2/20/25,2/20/25
73335738,2/17/25,,362 W Broadway U:3,2,,,999900,999900,999900,1284,,2/18/25,2/18/25
73335546,2/15/25,2,133 Waban,6,,Newton North,1500000,1500000,1500000,2736,,2/21/25,2/17/25
73335467,2/14/25,,21 Hathaway Rd,6,,Lexington HS,4250000,4500000,4500000,9464,,2/17/25,2/17/25
73335259,2/14/25,,201 Long Pond RD,3,,,660000,699000,699000,2790,,2/14/25,2/14/25
73335212,2/13/25,,47 Halford Street,3,,Gardner HS,331900,319900,319900,1201,,3/5/25,2/19/25
73335051,2/11/25,,430 Stuart U:PH34D,3,,,9900000,9900000,9900000,2297,,2/17/25,2/17/25
73334938,2/12/25,,1559 Bay Street U:30,2,,,451000,449000,449000,2100,,2/16/25,2/16/25
