source,property_id,price,location,size_sqft,year_built,bedrooms,bathrooms,lot_size,property_type,school_score,rental_estimate,price_history,walk_score,transit_score,bike_score
RealtyUS,9407465262,649000.0,"Boston, MA",902.0,2024.0,1.0,2.0,9999.0,condos,2.8181818181818183,3350.0,2025-03-05: 649000,N/A,N/A,N/A
RealtyUS,4221454887,799000.0,"Boston, MA",1376.0,2019.0,2.0,2.0,9999.0,condos,1.4444444444444444,3350.0,"2025-03-05: 799000, 2024-06-11: 3800, 2024-06-09: 0, 2024-06-08: 0, 2024-06-05: 0, 2024-06-04: 0, 2024-05-21: 3800, 2024-05-20: 3800, 2024-05-19: 3800, 2024-05-18: 0, 2024-04-28: 3800, 2024-04-27: 3800, 2024-04-24: 0, 2024-04-23: 0, 2024-04-02: 3800, 2024-04-02: 3800, 2024-03-30: 0, 2024-03-10: 3995, 2024-03-09: 3995, 2023-02-24: 3200, 2023-02-23: 0, 2023-02-22: 0, 2023-02-22: 0, 2023-02-18: 3200, 2023-02-18: 3200, 2023-02-17: 3200, 2023-02-16: 3400, 2023-02-15: 3400, 2023-02-15: 0, 2023-02-14: 0, 2023-02-14: 3400, 2023-02-09: 0, 2023-02-04: 3500, 2023-02-03: 3500, 2023-02-02: 3500, 2023-02-02: 3500, 2023-01-21: 3995, 2023-01-21: 3995, 2023-01-20: 0, 2023-01-20: 0, 2023-01-05: 3995, 2023-01-05: 3995, 2019-05-17: 0, 2019-05-16: 739000, 2019-05-16: 759000, 2019-05-10: 0, 2019-05-09: 759000, 2019-05-08: 0, 2019-04-21: 0, 2019-03-28: 759000, 2019-03-28: 759000, 2019-03-26: 759000, 2019-03-23: 759000, 2019-03-20: 759000, 2019-03-19: 759000",N/A,N/A,N/A
RealtyUS,4665682379,1995000.0,"Boston, MA",3510.0,1905.0,6.0,3.0,2380.0,multi_family,2.363636363636364,3350.0,"2025-03-05: 1995000, 2016-11-08: 835000, 2016-10-10: 835000, 2016-09-07: 850000, 2016-07-21: 875000, 2016-05-21: 875000, 2016-05-12: 875000, 2016-04-11: 899999, 2016-03-30: 899999",N/A,N/A,N/A
RealtyUS,9798720736,995000.0,"Boston, MA",3453.0,1905.0,9.0,3.0,5153.0,multi_family,2.3333333333333335,3350.0,2025-03-05: 995000,N/A,N/A,N/A
RealtyUS,4247337230,699999.0,"Boston, MA",1065.0,1905.0,2.0,2.0,1036.0,condos,1.9090909090909092,3350.0,"2025-03-04: 699999, 2020-04-01: 585000, 2014-07-02: 334000, 2014-03-27: 337000, 2012-06-29: 309000, 2012-06-14: 309000, 2012-05-31: 315000, 2012-05-04: 324000, 2012-04-26: 325000, 2012-04-13: 329000, 2012-04-11: 329000, 2012-03-25: 329000, 2012-03-08: 335000, 2012-02-22: 336000, 2012-02-13: 337000, 2012-01-12: 339000, 2011-12-22: 339000, 2011-09-15: 339000, 2011-09-12: 339000, 2011-09-08: 339000, 2007-10-03: 318300",N/A,N/A,N/A
RealtyUS,9931335852,724900.0,"Boston, MA",1694.0,2024.0,2.0,3.0,9999.0,condos,2.272727272727273,3350.0,2025-02-28: 724900,N/A,N/A,N/A
RealtyUS,3835198865,1150000.0,"Boston, MA",3463.0,1930.0,11.0,3.0,3360.0,multi_family,2.8,3350.0,"2025-02-26: 1150000, 2018-01-18: 899900, 2017-12-05: 899900, 2017-10-25: 929900, 2017-10-06: 949900",N/A,N/A,N/A
RealtyUS,9823235463,1350000.0,"Boston, MA",4020.0,1900.0,9.0,3.0,3279.0,multi_family,2.1818181818181817,3350.0,2025-02-26: 1350000,N/A,N/A,N/A
RealtyUS,9200282496,1125000.0,"Boston, MA",1512.0,2024.0,3.0,3.0,9999.0,condos,2.8181818181818183,3350.0,2025-02-25: 1125000,N/A,N/A,N/A
RealtyUS,9396978460,699000.0,"Boston, MA",1163.0,1905.0,3.0,1.0,9999.0,condos,1.5,3350.0,"2025-02-24: 699000, 2020-04-22: 2400, 2018-10-23: 2800, 2018-09-15: 2800, 2015-10-21: 2400, 2015-10-13: 2400, 2015-10-09: 2600, 2015-08-31: 2600, 2015-08-17: 2650, 2009-04-01: 1600, 2009-03-16: 1600",N/A,N/A,N/A
